video_id,offset,start,end
14570001.MOV.mp4,0,6201,6350
2019_0503_150006_003.MP4.mp4,4299,6351,6450
MAH00790.MP4.mp4,4673,6451,6762
2019_0503_150006_003.MP4.mp4,4299,6763,6911
14570001.MOV.mp4,0,6912,7079
MAH00790.MP4.mp4,4673,7080,7550
14570001.MOV.mp4,0,7551,9627
2019_0503_150006_003.MP4.mp4,4299,9628,10271
14570001.MOV.mp4,0,10272,10879
2019_0503_150006_003.MP4.mp4,4299,10880,10970
MAH00790.MP4.mp4,4673,10971,11392
2019_0503_150006_003.MP4.mp4,4299,11393,11696
MAH00790.MP4.mp4,4673,11697,12267
14570001.MOV.mp4,0,12268,12642
2019_0503_150006_003.MP4.mp4,4299,12643,13193
MAH00790.MP4.mp4,4673,13194,13909
14570001.MOV.mp4,0,13910,14248
2019_0503_150006_003.MP4.mp4,4299,14249,14669
MAH00790.MP4.mp4,4673,14670,14833
2019_0503_150006_003.MP4.mp4,4299,14834,15032
MAH00790.MP4.mp4,4673,15033,15178
14570001.MOV.mp4,0,15179,15430
2019_0503_150006_003.MP4.mp4,4299,15431,15894
14570001.MOV.mp4,0,15895,16094
MAH00790.MP4.mp4,4673,16095,16665
14570001.MOV.mp4,0,16666,16884
MAH00790.MP4.mp4,4673,16885,17325
14570001.MOV.mp4,0,17326,19368
2019_0503_150006_003.MP4.mp4,4299,19369,19976
MAH00790.MP4.mp4,4673,19977,20624
14570001.MOV.mp4,0,20625,22643
2019_0503_150006_003.MP4.mp4,4299,22644,22915
14570001.MOV.mp4,0,22916,23107
2019_0503_150006_003.MP4.mp4,4299,23108,23287
14570001.MOV.mp4,0,23288,23531
2019_0503_150006_003.MP4.mp4,4299,23532,23861
MAH00790.MP4.mp4,4673,23862,24254
2019_0503_152615_004.MP4.mp4,51381,54475,55207
MAH00791.MP4.mp4,51549,55208,55329
2019_0503_152615_004.MP4.mp4,51381,55330,55422
14570001.MOV.mp4,0,55423,55708
MAH00791.MP4.mp4,51549,55709,56042
2019_0503_152615_004.MP4.mp4,51381,56043,56510
MAH00791.MP4.mp4,51549,56511,56964
2019_0503_152615_004.MP4.mp4,51381,56965,57144
MAH00791.MP4.mp4,51549,57145,57531
14570001.MOV.mp4,0,57532,59792
2019_0503_152615_004.MP4.mp4,51381,59793,59873
14570001.MOV.mp4,0,59874,60139
MAH00791.MP4.mp4,51549,60140,60505
2019_0503_152615_004.MP4.mp4,51381,60506,62096
14570001.MOV.mp4,0,62097,62180
MAH00791.MP4.mp4,51549,62181,62305
2019_0503_152615_004.MP4.mp4,51381,62306,62694
MAH00791.MP4.mp4,51549,62695,63676
2019_0503_152615_004.MP4.mp4,51381,63677,64161
MAH00791.MP4.mp4,51549,64162,65080
14570001.MOV.mp4,0,65081,65216
2019_0503_152615_004.MP4.mp4,51381,65217,65455
14570001.MOV.mp4,0,65456,65681
MAH00791.MP4.mp4,51549,65682,65925
2019_0503_152615_004.MP4.mp4,51381,65926,66039
14570001.MOV.mp4,0,66040,68269
14570001.MOV.mp4,0,68270,68325
2019_0503_152615_004.MP4.mp4,51381,68326,68594
MAH00791.MP4.mp4,51549,68595,69669
14570001.MOV.mp4,0,69670,69946
MAH00791.MP4.mp4,51549,69947,70264
2019_0503_152615_004.MP4.mp4,51381,70265,71145
MAH00791.MP4.mp4,51549,71146,71834
14570001.MOV.mp4,0,71835,72050
MAH00791.MP4.mp4,51549,72051,72251
14570001.MOV.mp4,0,72252,72432